prim2_common,prim1_common,strat_id,psu_id,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,ASG_CODE,month,kod,MODE_ASG,new_list,PRT_CODE,CELLTYPE,fshinsp_a,num_fish_a,fl_reg,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,ZIP,AGE,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER
,SUMMER FLOUNDER,19873498305we,110401987052411643,0,1,1,,1,1,11,3,Y,0,5,,6,1104019870524005,643,1,3,0,4,0,,,,4,9,9,4,1,3,1987,1104019870524,05,we,,,1104019870524005,1,4,0,8,9,,,08MAR92:09:17,1,1,1,,,,8857030301,,1,88,8,1700,,30,24198.642848,19873498305we,,0,1104019870524005
,,19873498305we,108331987052311751,,3,5,,2,1,11,3,O,0,0,,0.5,1083319870523007,751,5,3,0,0,0,,,,4,9,23,4,1,3,1987,1083319870523,05,we,,,1083319870523007,,,,8,9,,,08MAR92:09:17,8,8,1,,,,,,1,88,8,1420,,24,9537.3437067,19873498305we,,0,1083319870523007
,,19873498305we,110401987052311736,0,4,5,,2,1,11,11,Y,2,2,,2.5,1104019870523001,736,3,3,1,0,0,,,,4,9,9,4,1,3,1987,1104019870523,05,we,,,1104019870523001,1,,,8,1,,,08MAR92:09:17,8,8,1,,,,,,1,88,8,1010,,24,15286.463987,19873498305we,,0,1104019870523001
TAUTOG,WINTER FLOUNDER,19873498305we,108331987052311751,0,3,5,,1,1,11,3,Y,0,0,,2.5,1083319870523001,751,5,3,0,6,0,,,,4,9,9,4,1,3,1987,1083319870523,05,we,,,1083319870523001,1,6,0,8,9,,,08MAR92:09:17,8,1,1,,,,8857042001,8839010101,1,88,8,1010,,56,5748.7899362,19873498305we,,0,1083319870523001
,,19873498306wd,106391987062511646,,2,5,,2,1,11,1,Y,15,15,,1.5,1063919870625004,646,5,3,0,0,0,,,,4,9,9,4,8,3,1987,1063919870625,06,wd,,,1063919870625004,,,,8,9,,,08MAR92:09:17,8,8,1,,,,,,2,88,8,1540,,20,11447.39116,19873498306wd,,0,1063919870625004
,,19873498305we,108331987052311751,,3,5,,2,1,11,3,Y,0,0,,2.5,1083319870523003,751,5,3,0,0,0,,,,4,9,9,4,1,3,1987,1083319870523,05,we,,,1083319870523003,,,,8,9,,,08MAR92:09:17,8,8,1,,,,,,1,88,8,1037,,57,5748.7899362,19873498305we,,0,1083319870523003
,,19873498305we,108331987052311751,,3,5,,2,1,11,3,O,0,0,,0.5,1083319870523008,751,5,3,0,0,0,,,,4,9,23,4,1,3,1987,1083319870523,05,we,,,1083319870523008,,,,8,9,,,08MAR92:09:17,8,8,1,,,,,,1,88,8,1432,,50,9537.3437067,19873498305we,,0,1083319870523008
,,19873498305we,110401987052311736,,4,5,,2,1,11,11,Y,1,1,,1,1104019870523005,736,3,3,0,0,0,,,,4,9,9,4,1,3,1987,1104019870523,05,we,,,1104019870523005,,,,8,1,,,08MAR92:09:17,8,8,1,,,,,,1,88,8,1400,,25,15286.463987,19873498305we,,0,1104019870523005
,TAUTOG,19873498306wd,106391987062511646,,2,5,,2,1,11,3,Y,1,12,,5,1063919870625001,646,5,3,0,0,0,,,,4,9,9,4,1,3,1987,1063919870625,06,wd,,,1063919870625001,,,,8,9,,,08MAR92:09:17,8,8,1,,,,8839010101,,1,88,8,1505,,65,11447.39116,19873498306wd,,0,1063919870625001
,WINTER FLOUNDER,19873498305we,10716198705107440,0,4,5,,1,1,7,7,Y,2,25,,5,1071619870510002,440,1,3,0,1,0,,,,4,9,9,4,1,3,1987,1071619870510,05,we,,,1071619870510002,1,1,0,8,1,,,08MAR92:09:17,8,1,1,,,,8857042001,,1,88,8,1700,,21,5748.7899362,19873498305we,,0,1071619870510002
,,19873498305we,110401987052411643,,4,5,,2,1,11,3,Y,10,20,,4,1104019870524001,643,2,3,0,0,0,,,,4,9,9,4,1,3,1987,1104019870524,05,we,,,1104019870524001,,,,8,9,,,08MAR92:09:17,8,8,1,,,,,,1,88,8,1500,,30,15286.463987,19873498305we,,0,1104019870524001
TAUTOG,WINTER FLOUNDER,19873498305we,108331987052311751,0,3,5,,1,1,11,3,Y,3,4,,2.5,1083319870523002,751,5,3,1,2,0,,,,4,9,9,4,1,3,1987,1083319870523,05,we,,,1083319870523002,1,2,0,8,9,,,08MAR92:09:17,8,1,1,,,,8857042001,8839010101,1,88,8,1030,,17,5748.7899362,19873498305we,,0,1083319870523002
,WINTER FLOUNDER,19873498305we,10716198705179263,0,5,5,,2,1,9,9,Y,5,5,,3,1071619870517002,263,1,3,1,0,0,,,,4,9,9,4,1,3,1987,1071619870517,05,we,,,1071619870517002,1,0,5,8,1,,,08MAR92:09:17,8,8,1,,,,8857042001,,1,88,8,1730,,15,15286.463987,19873498305we,,0,1071619870517002
,TAUTOG,19873498306wd,106391987062511646,,2,5,,2,1,11,11,Y,1,6,,5,1063919870625002,646,5,3,0,0,0,,,,4,9,9,4,1,3,1987,1063919870625,06,wd,,,1063919870625002,,,,8,9,,,08MAR92:09:17,8,8,1,,,,8839010101,,1,88,8,1510,,67,11447.39116,19873498306wd,,0,1063919870625002
,AMERICAN SHAD,19873498305we,108331987052311751,0,3,5,,2,1,11,11,Y,10,110,,4,1083319870523004,751,5,3,3,0,0,,,,4,9,9,4,1,3,1987,1083319870523,05,we,,,1083319870523004,1,,,8,1,,,08MAR92:09:17,8,8,1,,,,8747010101,,1,88,8,1230,,18,5748.7899362,19873498305we,,0,1083319870523004
,,19873498305we,108331987052311751,,3,5,,2,1,11,3,O,0,0,,0.5,1083319870523009,751,5,3,0,0,0,,,,4,9,23,4,1,3,1987,1083319870523,05,we,,,1083319870523009,,,,8,9,,,08MAR92:09:17,8,8,1,,,,,,1,88,8,1449,,17,9537.3437067,19873498305we,,0,1083319870523009
,AMERICAN SHAD,19873498305we,108331987052311757,0,3,5,,2,1,11,3,Y,15,15,,5.5,1083319870523011,757,5,3,2,0,0,,,,4,9,9,4,1,3,1987,1083319870523,05,we,,,1083319870523011,1,,,8,9,,,08MAR92:09:17,8,8,1,,,,8747010101,,1,88,8,1637,,17,15286.463987,19873498305we,,0,1083319870523011
,WINTER FLOUNDER,19873498305we,10716198705179263,0,2,5,,1,1,9,9,Y,5,100,,3,1071619870517001,263,1,3,1,1,0,,,,4,9,9,4,1,3,1987,1071619870517,05,we,,,1071619870517001,1,0,6,8,1,,,08MAR92:09:17,8,1,1,,,,8857042001,,1,88,8,1720,,15,15286.463987,19873498305we,,0,1071619870517001
,AMERICAN SHAD,19873498305we,108331987052311751,0,3,5,,2,1,11,11,Y,7,50,,3.5,1083319870523005,751,5,3,3,0,0,,,,4,9,9,4,1,3,1987,1083319870523,05,we,,,1083319870523005,1,,,8,1,,,08MAR92:09:17,8,8,1,,,,8747010101,,1,88,8,1247,,44,5748.7899362,19873498305we,,0,1083319870523005
,,19873498305we,108331987052311751,0,3,5,,2,1,11,11,Y,50,100,,7.5,1083319870523012,751,5,3,4,0,0,,,,4,9,9,4,1,3,1987,1083319870523,05,we,,,1083319870523012,1,,,8,9,,,08MAR92:09:17,8,8,1,,,,,,1,88,8,1645,,72,5748.7899362,19873498305we,,0,1083319870523012
,,19873498305we,108331987052311757,,3,5,,2,1,11,11,Y,0,0,,4,1083319870523006,757,5,3,0,0,0,,,,4,9,9,4,1,3,1987,1083319870523,05,we,,,1083319870523006,,,,8,1,,,08MAR92:09:17,8,8,1,,,,,,1,88,8,1302,,47,15286.463987,19873498305we,,0,1083319870523006
,BLUEFISH,19873498306we,10716198706281795,,2,5,,2,1,1,1,Y,2,3,,1,1071619870628001,795,1,3,0,0,0,,,,4,9,9,4,1,3,1987,1071619870628,06,we,,,1071619870628001,,,,8,1,,,08MAR92:09:17,8,8,1,,,,8835250101,,1,88,8,1715,,20,15286.463987,19873498306we,,0,1071619870628001
,AMERICAN SHAD,19873498305we,108331987052311751,0,3,5,,2,1,11,3,Y,9,10,,2.5,1083319870523010,751,5,3,1,0,0,,,,4,9,9,4,1,3,1987,1083319870523,05,we,,,1083319870523010,1,,,8,9,,,08MAR92:09:17,8,8,1,,,,8747010101,,1,88,8,1553,,23,5748.7899362,19873498305we,,0,1083319870523010
